"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
7.9;0.14;0.74;1.2;0.028;30;165;0.991;3.08;0.82;12.3;6
6.4;0.12;0.49;6.4;0.042;49;161;0.9945;3.34;0.44;10.4;6
6.7;0.33;0.49;1.6;0.167;20;94;0.9914;3.11;0.5;11.4;6
5.6;0.39;0.24;4.7;0.034;27;77;0.9906;3.28;0.36;12.7;5
7.1;0.26;0.49;2.2;0.032;31;113;0.9903;3.37;0.42;12.9;9
7.5;0.32;0.49;1.7;0.031;44;109;0.9906;3.07;0.46;12.5;6
5.8;0.19;0.49;4.9;0.04;44;118;0.9935;3.34;0.38;9.5;7
8.1;0.2;0.49;11.8;0.048;46;212;0.9968;3.09;0.46;10;7
7.8;0.49;0.49;7;0.043;29;149;0.9952;3.21;0.33;10;5
7.8;0.21;0.49;1.2;0.036;20;99;0.99;3.05;0.28;12.1;7
7.9;0.33;0.28;31.6;0.053;35;176;1.0103;3.15;0.38;8.8;6
6.6;0.31;0.49;7.7;0.05;52;220;0.9964;3.12;0.45;8.8;5
6.6;0.325;0.49;7.7;0.049;53;217;0.996;3.16;0.4;9.3;5
6.3;0.31;0.3;10;0.046;49;212;0.9962;3.74;0.55;11.9;6
7.3;0.26;0.33;17.85;0.049;41.5;195;1;3.06;0.44;9.1;7
7.2;0.25;0.28;14.4;0.055;55;205;0.9986;3.12;0.38;9;7
7;0.24;0.3;4.2;0.04;41;213;0.9927;3.28;0.49;11.8;6
6.5;0.27;0.19;4.2;0.046;6;114;0.9955;3.25;0.35;8.6;4
6.9;0.17;0.22;4.6;0.064;55;152;0.9952;3.29;0.37;9.3;6
7.6;0.445;0.44;14.5;0.045;68;212;0.9986;3.48;0.36;10;6
6.1;0.22;0.23;3.1;0.052;15;104;0.9948;3.14;0.42;8.7;5
8.3;0.3;0.36;10;0.042;33;169;0.9982;3.23;0.51;9.3;6
6.6;0.22;0.58;1.1;0.133;52;136;0.9932;3.1;0.3;9.1;5
6.1;0.34;0.31;12;0.053;46;238;0.9977;3.16;0.48;8.6;5
8;0.27;0.24;1.2;0.044;20;102;0.9929;3.28;0.42;10.9;5
6.4;0.16;0.28;2.2;0.042;33;93;0.9914;3.31;0.43;11.1;6
6.4;0.17;0.27;1.5;0.037;20;98;0.9916;3.46;0.42;11;7
6.5;0.18;0.26;1.4;0.041;40;141;0.9941;3.34;0.72;9.5;6
6.4;0.15;0.36;1.8;0.034;43;150;0.9922;3.42;0.69;11;8
8.7;0.45;0.4;1.5;0.067;17;100;0.9957;3.27;0.57;10.1;6
7.8;0.22;0.36;1.4;0.056;21;153;0.993;3.2;0.53;10.4;6
9.4;0.16;0.23;1.6;0.042;14;67;0.9942;3.07;0.32;9.5;5
6.8;0.23;0.29;15.4;0.073;56;173;0.9984;3.06;0.41;8.7;6
8.8;0.2;0.43;15;0.053;60;184;1.0008;3.28;0.79;8.8;6
8.8;0.2;0.43;15;0.053;60;184;1.0008;3.28;0.79;8.8;6
7.2;0.15;0.38;1.2;0.038;18;110;0.9917;3.19;0.43;11.1;6
6;0.26;0.29;1;0.032;27;96;0.9896;3.38;0.44;12.3;6
7.1;0.32;0.4;1.5;0.034;13;84;0.9944;3.42;0.6;10.4;5
8;0.55;0.42;12.6;0.211;37;213;0.9988;2.99;0.56;9.3;5
7.2;0.24;0.29;2.2;0.037;37;102;0.992;3.27;0.64;11;7
6.5;0.34;0.36;11;0.052;53;247;0.9984;3.44;0.55;9.3;6
7.2;0.24;0.29;2.2;0.037;37;102;0.992;3.27;0.64;11;7
8.2;0.18;0.31;11.8;0.039;96;249;0.9976;3.07;0.52;9.5;6
7.4;0.44;0.2;11.5;0.049;44;157;0.998;3.27;0.44;9;5
8;0.22;0.28;14;0.053;83;197;0.9981;3.14;0.45;9.8;6
7.8;0.2;0.28;10.2;0.054;78;186;0.997;3.14;0.46;10;6
6.3;0.19;0.21;1.8;0.049;35;163;0.9924;3.31;0.5;10.3;6
7;0.21;0.22;5.1;0.048;38;168;0.9945;3.34;0.49;10.4;6
6.6;0.31;0.38;16.05;0.058;16;165;0.9997;3.38;0.6;9.2;5
8;0.2;0.36;1.2;0.032;21;78;0.9921;3.08;0.37;10.4;6
6.4;0.22;0.32;7.9;0.029;34;124;0.9948;3.4;0.39;10.2;5
7.6;0.15;0.4;1.3;0.036;24;112;0.9932;3.14;0.76;10;5
7.7;0.3;0.42;14.3;0.045;45;213;0.9991;3.18;0.63;9.2;5
6.7;0.44;0.31;1.9;0.03;41;104;0.99;3.29;0.62;12.6;7
7.4;0.21;0.3;7.9;0.039;14;118;0.9942;2.96;0.34;10.4;5
7.9;0.26;0.33;10.3;0.039;73;212;0.9969;2.93;0.49;9.5;6
7.6;0.13;0.34;9.3;0.062;40;126;0.9966;3.21;0.39;9.6;5
7.1;0.18;0.26;1.3;0.041;20;71;0.9926;3.04;0.74;9.9;6
6.6;0.35;0.29;14.4;0.044;54;177;0.9991;3.17;0.58;8.9;6
7.6;0.26;0.36;1.6;0.032;6;106;0.993;3.15;0.4;10.4;4
6.3;0.22;0.57;1.4;0.208;14;96;0.9932;3.16;0.43;10;6
8.8;0.34;0.33;9.7;0.036;46;172;0.9966;3.08;0.4;10.2;5
7.3;0.13;0.27;4.6;0.08;34;172;0.9938;3.23;0.39;11.1;7
9.9;1.005;0.46;1.4;0.046;34;185;0.9966;3.02;0.49;10.2;4
8.1;0.24;0.38;4.3;0.044;49;172;0.996;3.37;0.74;10.8;6
6.8;0.27;0.28;13.3;0.076;50;163;0.9979;3.03;0.38;8.6;6
7.6;0.2;0.31;1.4;0.047;41;142;0.9934;3.43;0.53;10.1;6
6.3;0.41;0.3;3.2;0.03;49;164;0.9927;3.53;0.79;11.7;7
7.6;0.2;0.26;4.5;0.086;37;133;0.9963;3.15;0.42;9.2;5
6.8;0.27;0.35;7.8;0.048;76;197;0.9959;3.24;0.43;9.5;6
7.6;0.2;0.3;14.2;0.056;53;212.5;0.999;3.14;0.46;8.9;8
7.6;0.2;0.3;14.2;0.056;53;212.5;0.999;3.14;0.46;8.9;8
8;0.22;0.32;10.4;0.043;63;201;0.997;3.11;0.53;9.5;6
7.1;0.33;0.3;3.3;0.034;30;102;0.9912;3.08;0.31;12.3;7
7.4;0.3;0.22;5.25;0.053;33;180;0.9926;3.13;0.45;11.6;6
7;0.28;0.33;14.6;0.043;47;168;0.9994;3.34;0.67;8.8;6
6.7;0.31;0.08;1.3;0.038;58;147;0.9922;3.18;0.46;10;5
7.2;0.15;0.39;1.8;0.043;21;159;0.9948;3.52;0.47;10;5
6.9;0.19;0.39;8;0.028;22;84;0.994;3.11;0.66;10.8;6
6.3;0.41;0.33;4.7;0.023;28;110;0.991;3.3;0.38;12.5;7
6.6;0.32;0.22;16.7;0.046;38;133;0.9979;3.22;0.67;10.4;6
6.9;0.32;0.15;8.1;0.046;51;180;0.9958;3.13;0.45;8.9;5
7.6;0.34;0.39;7.6;0.04;45;215;0.9965;3.11;0.53;9.2;6
5.5;0.14;0.27;4.6;0.029;22;104;0.9949;3.34;0.44;9;5
5.5;0.14;0.27;4.6;0.029;22;104;0.9949;3.34;0.44;9;5
8.7;0.24;0.35;0.6;0.042;11;71;0.9926;3.08;0.38;10.6;5
6.8;0.21;0.27;18.15;0.042;41;146;1.0001;3.3;0.36;8.7;5
8.6;0.485;0.29;4.1;0.026;19;101;0.9918;3.01;0.38;12.4;5
8.6;0.485;0.29;4.1;0.026;19;101;0.9918;3.01;0.38;12.4;5
7.7;0.28;0.29;4.3;0.051;25;142;0.9939;3.16;0.39;10.2;5
7.1;0.33;0.25;1.6;0.03;25;126;0.9901;3.22;0.34;12.1;7
8.2;0.17;0.32;1.5;0.05;17;101;0.994;3.14;0.58;9.5;5
6.6;0.22;0.53;15.1;0.052;22;136;0.9986;2.94;0.35;9.4;5
6.6;0.22;0.53;15.1;0.052;22;136;0.9986;2.94;0.35;9.4;5
6;0.16;0.3;6.7;0.043;43;153;0.9951;3.63;0.46;10.6;5
6.2;0.34;0.3;11.1;0.047;28;237;0.9981;3.18;0.49;8.7;5
6;0.27;0.15;1.5;0.056;35;128;0.9936;3.12;0.45;8.8;5
5.7;0.33;0.15;1.9;0.05;20;93;0.9934;3.38;0.62;9.9;5
8.3;0.24;0.27;2.1;0.03;22;162;0.9914;2.99;0.68;11.9;6
6.8;0.26;0.32;7;0.041;38;118;0.9939;3.25;0.52;10.8;6
7.5;0.26;0.52;13.2;0.047;64;179;0.9982;3.1;0.46;9;5
8.2;0.21;0.32;10.65;0.053;53;145;0.9972;3.17;0.48;10.2;6
7.7;0.28;0.35;15.3;0.056;31;117;0.9998;3.27;0.5;9.6;5
7.8;0.29;0.33;8.75;0.035;33;181;0.9962;3.11;0.46;10.7;5
7.9;0.28;0.32;3.6;0.038;9;76;0.992;3.05;0.31;11.7;4
6.8;0.37;0.28;4;0.03;29;79;0.99;3.23;0.46;12.4;7
7.4;0.19;0.3;12.8;0.053;48.5;229;0.9986;3.14;0.49;9.1;7
7.4;0.19;0.3;12.8;0.053;48.5;229;0.9986;3.14;0.49;9.1;7
7.6;0.32;0.58;16.75;0.05;43;163;0.9999;3.15;0.54;9.2;5
7.4;0.19;0.3;12.8;0.053;48.5;212;0.9986;3.14;0.49;9.1;7
8;0.36;0.43;10.1;0.053;29;146;0.9982;3.4;0.46;9.5;6
7.4;0.29;0.25;3.8;0.044;30;114;0.992;3.11;0.4;11;6
7.6;0.27;0.42;2.6;0.044;29;110;0.9912;3.31;0.51;12.7;6
9.2;0.23;0.35;10.7;0.037;34;145;0.9981;3.09;0.32;9.7;5
7.1;0.18;0.32;12.2;0.048;36;125;0.9967;2.92;0.54;9.4;6
7.3;0.18;0.29;1;0.036;26;101;0.99;3.09;0.37;11.7;6
6.6;0.25;0.42;11.3;0.049;77;231;0.9966;3.24;0.52;9.5;6
7.1;0.26;0.19;8.2;0.051;53;187;0.996;3.16;0.52;9.7;5
6.6;0.23;0.24;3.9;0.045;36;138;0.9922;3.15;0.64;11.3;7
7.8;0.3;0.37;1.3;0.051;16;96;0.9941;3.32;0.62;10;5
8.5;0.28;0.34;13.8;0.041;32;161;0.9981;3.13;0.4;9.9;6
7.6;0.23;0.26;15.3;0.067;32;166;0.9986;3.03;0.44;9.2;4
7.1;0.2;0.36;11.6;0.042;45;124;0.997;2.92;0.59;9.5;7
6.5;0.39;0.35;1.6;0.049;10;164;0.99516;3.35;0.51;9.7;5
6.7;0.23;0.42;11.2;0.047;52;171;0.99758;3.54;0.74;10.4;5
6.1;0.15;0.29;6.2;0.046;39;151;0.99471;3.6;0.44;10.6;6
7.4;0.18;0.29;1.4;0.042;34;101;0.99384;3.54;0.6;10.5;7
7.1;0.14;0.35;1.4;0.039;24;128;0.99212;2.97;0.68;10.4;5
7.2;0.39;0.54;1.4;0.157;34;132;0.99449;3.11;0.53;9;6
7.6;0.48;0.28;10.4;0.049;57;205;0.99748;3.24;0.45;9.3;5
6.5;0.36;0.31;4.1;0.061;20;134;0.99475;3.18;0.45;9;6
6.6;0.19;0.43;10.9;0.045;53;154;0.99752;3.52;0.77;10.4;6
6.7;0.43;0.23;5;0.157;49;145;0.99471;3.17;0.49;9.4;5
6.5;0.32;0.23;1.2;0.054;39;208;0.99272;3.18;0.46;9.9;6
7;0.32;0.31;6.4;0.031;38;115;0.99235;3.38;0.58;12.2;7
7.5;0.42;0.2;1.4;0.06;15;168;0.9944;3.06;0.4;9.4;6
9.4;0.28;0.3;1.6;0.045;36;139;0.99534;3.11;0.49;9.3;5
6.8;0.32;0.3;3.3;0.029;15;80;0.99061;3.33;0.63;12.6;7
7;0.19;0.33;6.3;0.032;42;127;0.99182;3.31;0.38;12.2;6
6.6;0.4;0.32;1.7;0.035;39;84;0.99096;3.59;0.48;12.7;7
4.6;0.445;0;1.4;0.053;11;178;0.99426;3.79;0.55;10.2;5
7.5;0.38;0.29;12.7;0.05;25;209;0.9986;3.25;0.59;9.3;6
7.7;0.29;0.29;4.8;0.06;27;156;0.99572;3.49;0.59;10.3;6
7.5;0.23;0.29;2.6;0.031;24;98;0.99194;3;0.54;10.9;6
7.9;0.25;0.34;11.4;0.04;53;202;0.99708;3.11;0.57;9.6;6
6.1;0.28;0.16;1.3;0.06;36;126;0.99353;3.13;0.46;8.7;6
7.6;0.48;0.33;7;0.024;14;130;0.9918;3.25;0.45;12.5;7
8.2;0.25;0.46;3.75;0.05;14;102;0.99524;3.28;0.58;9.7;5
6.5;0.18;0.29;1.7;0.035;39;144;0.9927;3.49;0.5;10.5;6
7.6;0.32;0.35;1.6;0.092;24;138;0.99438;3.19;0.44;9.8;5
6.2;0.45;0.73;7.2;0.099;47;202;0.99582;3.21;0.43;9.2;5
7;0.32;0.29;4.9;0.036;41;150;0.99168;3.38;0.43;12.2;6
7.2;0.2;0.3;2;0.039;43;188;0.9911;3.3;0.41;12;6
6.4;0.27;0.19;2;0.084;21;191;0.99516;3.49;0.63;9.6;4
6.9;0.3;0.3;1.3;0.053;24;186;0.99361;3.29;0.54;9.9;4
6.8;0.46;0.26;2.7;0.042;28;83;0.99114;3.38;0.51;12;8
7;0.28;0.26;1.7;0.042;34;130;0.9925;3.43;0.5;10.7;8
6.4;0.17;0.34;1.5;0.091;42;135;0.9938;3.25;0.49;9.6;7
6.5;0.19;0.27;4.9;0.037;13;101;0.9916;3.17;0.41;11.8;6
9.2;0.16;0.49;2;0.044;18;107;0.99514;3.1;0.53;10.2;4
8.8;0.33;0.36;2.1;0.034;19;125;0.99166;2.96;0.98;12.7;6
9.8;0.16;0.46;1.8;0.046;23;130;0.99587;3.04;0.67;9.6;5
7.6;0.31;0.27;5.8;0.036;23;109;0.99399;3.34;0.54;11;6
8.2;0.24;0.3;2.3;0.05;23;106;0.99397;2.98;0.5;10;5
6.8;0.26;0.43;11.75;0.045;53;198;0.9969;3.26;0.55;9.5;5
6.3;0.29;0.14;7.05;0.045;50;177;0.99564;3.23;0.42;9;5
8;0.26;0.28;4.8;0.05;34;150;0.99437;3.13;0.5;10;6
6.7;0.27;0.26;2.3;0.043;61;181;0.99394;3.45;0.63;10.6;6
8.1;0.33;0.36;7.4;0.037;36;156;0.99592;3.19;0.54;10.6;6
8.1;0.33;0.36;7.4;0.037;36;156;0.99592;3.19;0.54;10.6;6
6.6;0.33;0.24;16.05;0.045;31;147;0.99822;3.08;0.52;9.2;5
8.2;0.26;0.33;2.6;0.053;11;71;0.99402;2.89;0.49;9.5;5
7;0.26;0.26;10.8;0.039;37;184;0.99787;3.47;0.58;10.3;7
6;0.26;0.15;1.2;0.053;35;124;0.99347;3.08;0.46;8.8;5
7.5;0.28;0.78;12.1;0.041;53;161;0.99838;2.98;0.44;8.7;5
6.3;0.27;0.37;7.9;0.047;58;215;0.99542;3.19;0.48;9.5;6
6.6;0.24;0.3;13;0.052;18;143;0.99825;3.37;0.49;9.4;6
6.8;0.32;0.3;1;0.049;22;113;0.99289;3.24;0.61;10.2;5
6.1;0.28;0.24;19.95;0.074;32;174;0.99922;3.19;0.44;9.3;6
7.6;0.31;0.23;12.7;0.054;20;139;0.99836;3.16;0.5;9.7;4
6.3;0.18;0.22;1.5;0.043;45;155;0.99238;3.19;0.48;10.2;5
8.6;0.34;0.36;1.4;0.045;11;119;0.99556;3.17;0.47;9.4;4
6.2;0.28;0.45;7.5;0.045;46;203;0.99573;3.26;0.46;9.2;6
5.6;0.175;0.29;0.8;0.043;20;67;0.99112;3.28;0.48;9.9;6
6.9;0.34;0.36;1.4;0.032;13;145;0.99214;3.07;0.52;9.8;5
7.1;0.32;0.29;4;0.038;33;170;0.99463;3.27;0.64;10.2;6
7.1;0.12;0.3;3.1;0.018;15;37;0.99004;3.02;0.52;11.9;7
6.3;0.24;0.55;8.1;0.04;67;216;0.99596;3.24;0.5;9.2;5
7.3;0.17;0.24;8.1;0.121;32;162;0.99508;3.17;0.38;10.4;8
6.8;0.23;0.3;1.7;0.043;19;95;0.99207;3.17;0.46;10.7;7
5.9;0.28;0.14;8.6;0.032;30;142;0.99542;3.28;0.44;9.5;6
6.5;0.23;0.25;17.3;0.046;15;110;0.99828;3.15;0.42;9.2;6
6.7;0.5;0.38;7.5;0.046;26;175;0.99662;3.32;0.54;9.6;5
6.3;0.26;0.42;7.1;0.045;62;209;0.99544;3.2;0.53;9.5;6
6.3;0.13;0.42;1.1;0.043;63;146;0.99066;3.13;0.72;11.2;7
6.3;0.13;0.42;1.1;0.043;63;146;0.99066;3.13;0.72;11.2;7
7.6;0.23;0.64;12.9;0.033;54;170;0.998;3;0.53;8.8;5
6.9;0.32;0.26;2.3;0.03;11;103;0.99106;3.06;0.42;11.1;6
6.9;0.28;0.22;10;0.052;36;131;0.99696;3.08;0.46;9.6;5
6.9;0.32;0.26;2.3;0.03;11;103;0.99106;3.06;0.42;11.1;6
6.8;0.28;0.36;7;0.043;60;207;0.99556;3.16;0.49;9.6;6
6.3;0.34;0.36;4.9;0.035;31;185;0.9946;3.15;0.49;9.7;5
6.7;0.17;0.42;10.4;0.038;85;182;0.99628;3.04;0.44;8.9;6
6.5;0.27;0.4;10;0.039;74;227;0.99582;3.18;0.5;9.4;5
6.3;0.21;0.29;11.7;0.048;49;147;0.99482;3.22;0.38;10.8;5
6.4;0.22;0.34;1.4;0.023;56;115;0.98958;3.18;0.7;11.7;6
7.1;0.2;0.3;0.9;0.019;4;28;0.98931;3.2;0.36;12;6
6.7;0.3;0.29;2.8;0.025;37;107;0.99159;3.31;0.63;11.3;7
6.5;0.18;0.41;14.2;0.039;47;129;0.99678;3.28;0.72;10.3;7
6.5;0.18;0.41;14.2;0.039;47;129;0.99678;3.28;0.72;10.3;7
6.6;0.26;0.21;2.9;0.026;48;126;0.99089;3.22;0.38;11.3;7
7;0.24;0.24;9;0.03;42;219;0.99636;3.47;0.46;10.2;6
7.2;0.24;0.27;11.4;0.034;40;174;0.99773;3.2;0.44;9;5
7.5;0.13;0.38;1.1;0.023;42;104;0.99112;3.28;0.53;11.8;6
6.1;0.15;0.35;15.8;0.042;55;158;0.99642;3.24;0.37;10.6;5
7.6;0.23;0.4;5.2;0.066;14;91;0.99488;3.17;0.8;9.7;5
7.15;0.17;0.24;9.6;0.119;56;178;0.99578;3.15;0.44;10.2;6
7;0.34;0.39;6.9;0.066;43;162;0.99561;3.11;0.53;9.5;5
6.4;0.68;0.26;3.4;0.069;25;146;0.99347;3.18;0.4;9.3;5
6.7;0.33;0.34;6.6;0.067;35;156;0.99542;3.11;0.48;9.3;6
7;0.23;0.33;1;0.043;46;110;0.99118;3.04;0.65;10.8;6
8.3;0.4;0.41;8.2;0.05;15;122;0.9979;3.39;0.49;9.3;5
6.6;0.12;0.25;1.4;0.039;21;131;0.99114;3.2;0.45;11.2;7
5.9;0.34;0.31;2;0.03;38;142;0.98892;3.4;0.41;12.9;7
7;0.15;0.3;13.3;0.049;46;120;0.99704;3.2;0.36;9.5;7
6.9;0.3;0.25;3.3;0.041;26;124;0.99428;3.18;0.5;9.3;6
6.7;0.23;0.25;1.6;0.036;28;143;0.99256;3.3;0.54;10.3;6
6.2;0.28;0.27;10.3;0.03;26;108;0.99388;3.2;0.36;10.7;6
6.9;0.31;0.32;1.2;0.024;20;166;0.99208;3.05;0.54;9.8;6
6.9;0.3;0.25;3.3;0.041;26;124;0.99428;3.18;0.5;9.3;6
6.5;0.23;0.36;16.3;0.038;43;133;0.99924;3.26;0.41;8.8;5
6.5;0.23;0.36;16.3;0.038;43;133;0.99924;3.26;0.41;8.8;5
6.8;0.23;0.42;7.4;0.044;56;189;0.9958;3.22;0.48;9.3;6
7.6;0.4;0.27;5.2;0.03;32;101;0.99172;3.22;0.62;12.3;7
6.9;0.23;0.32;16.4;0.045;62;153;0.9972;3.22;0.42;10.5;5
7.9;0.51;0.34;2.6;0.049;13;135;0.99335;3.09;0.51;10;5
6.5;0.29;0.31;1.7;0.035;24;79;0.99053;3.27;0.69;11.4;7
8;0.23;0.28;2.7;0.048;49;165;0.9952;3.26;0.72;9.5;6
7.1;0.43;0.3;6.6;0.025;15;138;0.99126;3.18;0.46;12.6;6
5.8;0.13;0.26;5.1;0.039;19;103;0.99478;3.36;0.47;9.3;6
7.7;0.16;0.36;5.9;0.054;25;148;0.99578;3.25;0.54;10.2;6
6.3;0.2;0.24;1.7;0.052;36;135;0.99374;3.8;0.66;10.8;6
7.1;0.2;0.31;6.85;0.053;32;211;0.99587;3.31;0.59;10.4;6
6.8;0.35;0.53;10.1;0.053;37;151;0.9963;3.07;0.4;9.4;5
6.8;0.26;0.44;8.2;0.046;52;183;0.99584;3.2;0.51;9.4;5
6.4;0.22;0.32;7.2;0.028;15;83;0.993;3.13;0.55;10.9;8
7.5;0.18;0.72;9.6;0.039;53;151;0.99802;3.03;0.46;8.9;5
7;0.27;0.48;6.1;0.042;60;184;0.99566;3.2;0.5;9.4;6
5.8;0.32;0.31;2.7;0.049;25;153;0.99067;3.44;0.73;12.2;7
7.4;0.3;0.32;1.7;0.03;23;128;0.9929;3.17;0.66;10.9;5
6.6;0.36;0.24;0.9;0.038;15;72;0.99066;3.23;0.39;11;5
6.7;0.19;0.39;1;0.032;14;71;0.98912;3.31;0.38;13;7
6;0.21;0.34;2;0.042;63;123;0.99052;3.44;0.42;11.4;6
6.5;0.2;0.24;9.2;0.044;25;150;0.99502;3.22;0.44;10.5;5
7.6;0.27;0.34;5;0.04;18;56;0.99084;3.06;0.48;12.4;6
7.2;0.26;0.4;6.3;0.047;52;172;0.99573;3.18;0.53;9.5;6
6.4;0.14;0.31;1.2;0.034;53;138;0.99084;3.38;0.35;11.5;7
6.3;0.25;0.22;3.3;0.048;41;161;0.99256;3.16;0.5;10.5;6
5.5;0.375;0.38;1.7;0.036;17;98;0.99142;3.29;0.39;10.5;6
5.9;0.2;0.4;1.3;0.047;23;92;0.99232;3.2;0.45;10;6
8;0.22;0.31;5.6;0.049;24;97;0.993;3.1;0.42;10.9;5
5.3;0.16;0.39;1;0.028;40;101;0.99156;3.57;0.59;10.6;6
6.9;0.33;0.26;5;0.027;46;143;0.9924;3.25;0.43;11.2;7
7.3;0.21;0.33;1;0.037;66;144;0.9923;3.11;0.52;10.2;6
6.4;0.21;0.28;5.9;0.047;29;101;0.99278;3.15;0.4;11;6
5.6;0.18;0.58;1.25;0.034;29;129;0.98984;3.51;0.6;12;7
5.4;0.23;0.36;1.5;0.03;74;121;0.98976;3.24;0.99;12.1;7
7;0.28;0.32;7.75;0.032;30;114;0.99158;3.12;0.64;12.8;7
6.2;0.16;0.34;1.7;0.038;85;153;0.9909;3.33;0.86;12;7
6.4;0.125;0.36;1.4;0.044;22;68;0.99014;3.15;0.5;11.7;7
6.7;0.42;0.46;9.7;0.054;67;234;0.99848;3.23;0.5;9;5
6.1;0.16;0.37;1.1;0.031;37;97;0.9922;3.4;0.58;10.5;6
6.2;0.36;0.14;8.9;0.036;38;155;0.99622;3.27;0.5;9.4;5
6.2;0.2;0.31;1;0.031;22;73;0.99035;3.24;0.52;11.3;6
6.9;0.14;0.38;1;0.041;22;81;0.99043;3.03;0.54;11.4;6
5.7;0.28;0.28;2.2;0.019;15;65;0.9902;3.06;0.52;11.2;6
6.4;0.16;0.32;8.75;0.038;38;118;0.99449;3.19;0.41;10.7;5
6.7;0.39;0.31;2.7;0.054;27;202;0.9948;3.46;0.57;10.5;6
5.2;0.155;0.33;1.6;0.028;13;59;0.98975;3.3;0.84;11.9;8
7;0.31;0.31;9.1;0.036;45;140;0.99216;2.98;0.31;12;7
5.6;0.21;0.4;1.3;0.041;81;147;0.9901;3.22;0.95;11.6;8
7.7;0.25;0.3;7.8;0.038;67;196;0.99555;3.1;0.5;10.1;5
7;0.12;0.29;10.3;0.039;41;98;0.99564;3.19;0.38;9.8;8
5.1;0.29;0.28;8.3;0.026;27;107;0.99308;3.36;0.37;11;6
6.8;0.26;0.48;6.2;0.049;55;182;0.99582;3.21;0.45;9.4;6
7.4;0.35;0.24;6;0.042;28;123;0.99304;3.14;0.44;11.3;5
6.4;0.12;0.3;1.1;0.031;37;94;0.98986;3.01;0.56;11.7;6
5.8;0.19;0.24;1.3;0.044;38;128;0.99362;3.77;0.6;10.6;5
5.5;0.34;0.26;2.2;0.021;31;119;0.98919;3.55;0.49;13;8
6.6;0.23;0.2;11.4;0.044;45;131;0.99604;2.96;0.51;9.7;6
7;0.2;0.31;8;0.05;29;213;0.99596;3.28;0.57;10.4;6
7.2;0.19;0.31;6.3;0.034;17;103;0.99305;3.15;0.52;11.4;7
5;0.27;0.32;4.5;0.032;58;178;0.98956;3.45;0.31;12.6;7
6.8;0.18;0.28;9.8;0.039;29;113;0.99406;3.11;0.45;10.9;7
7;0.45;0.34;19.8;0.04;12;67;0.9976;3.07;0.38;11;6
5.9;0.34;0.3;3.8;0.035;57;135;0.99016;3.09;0.34;12;6
7.2;0.32;0.3;8.25;0.02;14;104;0.99362;2.99;0.44;11.4;6
8.4;0.22;0.3;8.9;0.024;17;118;0.99456;2.99;0.34;10.5;6
6.8;0.24;0.38;8.3;0.045;50;185;0.99578;3.15;0.5;9.5;6
6.5;0.23;0.45;2.1;0.027;43;104;0.99054;3.02;0.52;11.3;6
6.3;0.2;0.37;11.8;0.045;58;130;0.99519;3.2;0.35;10.8;5
6.2;0.33;0.41;16.8;0.037;58;173;0.99882;3.25;0.57;9.4;6
6.3;0.33;0.42;17.2;0.037;57;170;0.99884;3.26;0.57;9.4;6
7.2;0.21;1;1.1;0.154;46;114;0.9931;2.95;0.43;9.2;6
7.7;0.18;0.53;1.2;0.041;42;167;0.9908;3.11;0.44;11.9;5
6.2;0.25;0.38;7.9;0.045;54;208;0.99572;3.17;0.46;9.1;5
6.8;0.28;0.43;7.6;0.03;30;110;0.99164;3.08;0.59;12.5;8
6.2;0.25;0.54;7;0.046;58;176;0.99454;3.19;0.7;10.4;5
6.4;0.15;0.4;1.5;0.042;23;87;0.98972;3.11;0.46;12.2;7
6.2;0.25;0.54;7;0.046;58;176;0.99454;3.19;0.7;10.4;5
6;0.35;0.51;1.2;0.029;10;102;0.9903;3.46;0.42;11.9;6
9.7;0.24;0.49;4.9;0.032;3;18;0.99368;2.85;0.54;10;6
6.7;0.34;0.4;2.1;0.033;34;111;0.98924;2.97;0.48;12.2;7
7.7;0.26;0.51;2.6;0.045;26;159;0.99126;3;0.5;11.2;6
6.3;0.17;0.32;4.2;0.04;37;117;0.99182;3.24;0.43;11.3;6
6.7;0.21;0.37;2.5;0.034;35;89;0.9913;3.25;0.5;11;7
6.5;0.23;0.39;1.9;0.036;41;98;0.99;3.19;0.43;11.9;7
7.6;0.23;0.34;1.6;0.043;24;129;0.99305;3.12;0.7;10.4;5
5.5;0.18;0.22;5.5;0.037;10;86;0.99156;3.46;0.44;12.2;5
6.3;0.35;0.26;17.6;0.061;59;198;0.99918;3.11;0.49;8.8;5
6.3;0.17;0.32;4.2;0.04;37;117;0.99182;3.24;0.43;11.3;6
6.6;0.39;0.39;11.9;0.057;51;221;0.99851;3.26;0.51;8.9;6
6.2;0.23;0.36;17.2;0.039;37;130;0.99946;3.23;0.43;8.8;6
7.1;0.36;0.37;4.8;0.019;39;114;0.99036;3.08;0.49;12.7;7
6.2;0.19;0.38;5.1;0.019;22;82;0.98961;3.05;0.36;12.5;6
6.7;0.33;0.36;6.6;0.042;34;116;0.99123;2.97;0.31;12.2;8
5.5;0.12;0.33;1;0.038;23;131;0.99164;3.25;0.45;9.8;5
8.3;0.16;0.37;7.9;0.025;38;107;0.99306;2.93;0.37;11.9;6
5.7;0.16;0.32;1.2;0.036;7;89;0.99111;3.26;0.48;11;5
